r,theta,z,Energy,Detection Efficiency
0.0,0.0,82.0,20,0.0091086666666666
0.0,0.0,82.0,30,0.0456937058823529
0.0,0.0,82.0,50,0.190654294117647
0.0,0.0,82.0,80,0.295446625
0.0,0.0,82.0,100,0.3082207647058823
0.0,0.0,82.0,200,0.2404757647058823
0.0,0.0,82.0,300,0.1719098888888888
0.0,0.0,82.0,500,0.1078825882352941
0.0,0.0,82.0,800,0.0726855294117647
0.0,0.0,82.0,1000,0.0614948823529411
0.0,0.0,82.0,1200,0.0530598333333333
0.0,0.0,82.0,1400,0.0462603529411764
0.0,0.0,82.0,1600,0.0417137058823529
0.0,0.0,82.0,1800,0.037598
0.0,0.0,82.0,2000,0.0342177647058823
0.0,0.0,82.0,2200,0.0316007058823529
0.0,0.0,82.0,2400,0.0288088888888888
0.0,0.0,112.0,20,0.0029053333333333
0.0,0.0,112.0,30,0.0152428823529411
0.0,0.0,112.0,50,0.0586885294117647
0.0,0.0,112.0,80,0.085353625
0.0,0.0,112.0,100,0.0867209411764705
0.0,0.0,112.0,200,0.0631369411764705
0.0,0.0,112.0,300,0.0444633888888888
0.0,0.0,112.0,500,0.0282703529411764
0.0,0.0,112.0,800,0.0192773529411764
0.0,0.0,112.0,1000,0.0159141764705882
0.0,0.0,112.0,1200,0.0141072777777777
0.0,0.0,112.0,1400,0.0123893529411764
0.0,0.0,112.0,1600,0.0110440588235294
0.0,0.0,112.0,1800,0.0100038888888888
0.0,0.0,112.0,2000,0.0092102352941176
0.0,0.0,112.0,2200,0.0085813529411764
0.0,0.0,112.0,2400,0.0077922222222222
0.0,0.0,142.0,20,0.0012185555555555
0.0,0.0,142.0,30,0.0061494444444444
0.0,0.0,142.0,50,0.0230155882352941
0.0,0.0,142.0,80,0.033493
0.0,0.0,142.0,100,0.034889
0.0,0.0,142.0,200,0.0263859411764705
0.0,0.0,142.0,300,0.0193238333333333
0.0,0.0,142.0,500,0.0121855882352941
0.0,0.0,142.0,800,0.008255294117647
0.0,0.0,142.0,1000,0.007047
0.0,0.0,142.0,1200,0.0061615
0.0,0.0,142.0,1400,0.0053688823529411
0.0,0.0,142.0,1600,0.0049729411764705
0.0,0.0,142.0,1800,0.0044216666666666
0.0,0.0,142.0,2000,0.0040078823529411
0.0,0.0,142.0,2200,0.0037506470588235
0.0,0.0,142.0,2400,0.0035683333333333
0.0,0.0,172.0,20,0.0006071666666666
0.0,0.0,172.0,30,0.003166
0.0,0.0,172.0,50,0.0117665882352941
0.0,0.0,172.0,80,0.017163625
0.0,0.0,172.0,100,0.018037375
0.0,0.0,172.0,200,0.0143064117647058
0.0,0.0,172.0,300,0.0104210555555555
0.0,0.0,172.0,500,0.0068912352941176
0.0,0.0,172.0,800,0.0046664117647058
0.0,0.0,172.0,1000,0.003957875
0.0,0.0,172.0,1200,0.0035123888888888
0.0,0.0,172.0,1400,0.0030624117647058
0.0,0.0,172.0,1600,0.002823
0.0,0.0,172.0,1800,0.0025604444444444
0.0,0.0,172.0,2000,0.0023544705882352
0.0,0.0,172.0,2200,0.0021228823529411
0.0,0.0,172.0,2400,0.0018868888888888
30.0,0.0,82.0,20,0.0044754444444444
30.0,0.0,82.0,30,0.022745294117647
30.0,0.0,82.0,50,0.0933656470588235
30.0,0.0,82.0,80,0.1440155
30.0,0.0,82.0,100,0.1486269411764706
30.0,0.0,82.0,200,0.1164984705882353
30.0,0.0,82.0,300,0.0857440555555555
30.0,0.0,82.0,500,0.0556560588235294
30.0,0.0,82.0,800,0.0386185294117647
30.0,0.0,82.0,1000,0.0326676470588235
30.0,0.0,82.0,1200,0.02844
30.0,0.0,82.0,1400,0.0253367058823529
30.0,0.0,82.0,1600,0.0227870588235294
30.0,0.0,82.0,1800,0.0208408333333333
30.0,0.0,82.0,2000,0.0190245294117647
30.0,0.0,82.0,2200,0.0172411176470588
30.0,0.0,82.0,2400,0.0162107777777777
30.0,0.0,112.0,20,0.0017766111111111
30.0,0.0,112.0,30,0.0097163529411764
30.0,0.0,112.0,50,0.0381598235294117
30.0,0.0,112.0,80,0.0571045
30.0,0.0,112.0,100,0.0586011764705882
30.0,0.0,112.0,200,0.045655
30.0,0.0,112.0,300,0.0334042777777777
30.0,0.0,112.0,500,0.0212480588235294
30.0,0.0,112.0,800,0.0149079411764705
30.0,0.0,112.0,1000,0.0123461764705882
30.0,0.0,112.0,1200,0.0108795555555555
30.0,0.0,112.0,1400,0.0096389411764705
30.0,0.0,112.0,1600,0.0087038823529411
30.0,0.0,112.0,1800,0.0078331666666666
30.0,0.0,112.0,2000,0.007243
30.0,0.0,112.0,2200,0.0066114705882352
30.0,0.0,112.0,2400,0.0061065555555555
30.0,0.0,142.0,20,0.0008910555555555
30.0,0.0,142.0,30,0.0049511111111111
30.0,0.0,142.0,50,0.0184045294117647
30.0,0.0,142.0,80,0.0272645
30.0,0.0,142.0,100,0.028459625
30.0,0.0,142.0,200,0.0224008823529411
30.0,0.0,142.0,300,0.0163376111111111
30.0,0.0,142.0,500,0.0106783529411764
30.0,0.0,142.0,800,0.0076450588235294
30.0,0.0,142.0,1000,0.006115125
30.0,0.0,142.0,1200,0.0054854444444444
30.0,0.0,142.0,1400,0.0046408235294117
30.0,0.0,142.0,1600,0.004462
30.0,0.0,142.0,1800,0.0039695555555555
30.0,0.0,142.0,2000,0.0035794705882352
30.0,0.0,142.0,2200,0.0032894117647058
30.0,0.0,142.0,2400,0.0030368888888888
30.0,0.0,172.0,20,0.0004656111111111
30.0,0.0,172.0,30,0.0028309444444444
30.0,0.0,172.0,50,0.0102626470588235
30.0,0.0,172.0,80,0.0152895
30.0,0.0,172.0,100,0.0159865
30.0,0.0,172.0,200,0.0130145882352941
30.0,0.0,172.0,300,0.0094720555555555
30.0,0.0,172.0,500,0.0062278235294117
30.0,0.0,172.0,800,0.0043147647058823
30.0,0.0,172.0,1000,0.003505125
30.0,0.0,172.0,1200,0.0032248888888888
30.0,0.0,172.0,1400,0.0028428235294117
30.0,0.0,172.0,1600,0.002545
30.0,0.0,172.0,1800,0.0024349444444444
30.0,0.0,172.0,2000,0.0022132352941176
30.0,0.0,172.0,2200,0.0019917647058823
30.0,0.0,172.0,2400,0.001835
60.0,0.0,82.0,20,0.0014928333333333
60.0,0.0,82.0,30,0.007962
60.0,0.0,82.0,50,0.0333582352941176
60.0,0.0,82.0,80,0.051403625
60.0,0.0,82.0,100,0.05394725
60.0,0.0,82.0,200,0.0445567058823529
60.0,0.0,82.0,300,0.0332326666666666
60.0,0.0,82.0,500,0.0219861764705882
60.0,0.0,82.0,800,0.0150924705882352
60.0,0.0,82.0,1000,0.012938875
60.0,0.0,82.0,1200,0.0112821111111111
